Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
2001.00;25;41G7;1000.00;142.18;1297.95;847.72;1150.41;155.17;21.37;0.37;0.00
2001.00;26;38G9;918.20;321.70;880.45;209.26;590.78;90.69;192.98;71.05;10.99
2001.00;26;39G8;1026.00;2278.24;1337.58;854.40;1626.93;157.17;0.00;0.00;0.00
2001.00;26;39G9;1026.00;1298.92;2976.44;557.52;1351.65;21.05;108.06;71.06;0.00
2001.00;26;39H0;881.60;69.46;765.42;38.58;427.62;24.54;57.61;20.17;0.00
2001.00;26;40G8;1013.00;425.87;1454.61;1073.54;2252.38;232.62;0.00;0.00;0.00
2001.00;26;40G9;1013.00;236.67;1838.83;236.63;669.92;40.67;275.32;86.96;0.00
2001.00;26;40H0;1012.10;83.02;508.79;152.83;331.12;5.08;46.11;10.16;4.09
2001.00;26;41G8;1000.00;281.33;822.17;675.20;1462.94;151.16;0.00;0.00;0.00
2001.00;26;41G9;1000.00;84.50;2009.55;0.00;2043.66;105.58;193.94;582.29;53.17
2001.00;26;41H0;953.30;37.87;748.36;0.00;792.24;63.38;121.71;278.16;2.57
2001.00;27;42G7;986.90;27.29;1418.35;615.27;1233.62;736.33;50.63;0.00;0.00
2001.00;28_2;42G8;945.40;511.85;668.27;422.84;856.69;550.82;41.53;0.00;0.00
2001.00;28_2;42G9;986.90;67.49;1614.69;0.00;1193.32;26.36;338.71;427.61;45.80
2001.00;28_2;42H0;968.50;27.46;595.59;0.00;445.51;11.31;106.31;162.44;12.96
2001.00;28_2;43G9;973.70;157.54;1472.65;0.00;1055.95;53.78;430.85;437.95;39.99
2001.00;28_2;43H0;973.70;153.27;1865.72;0.00;951.73;13.92;200.02;426.08;195.84
2001.00;28_2;43H1;412.70;3.75;125.83;0.00;65.17;0.00;19.51;28.79;12.13
2001.00;28_2;44H0;960.50;74.18;568.86;0.00;832.36;26.19;374.44;321.54;16.64
2001.00;28_2;44H1;824.60;62.35;435.56;0.00;689.48;22.59;314.47;264.77;9.04
2002.00;24;38G2;832.90;565.00;120.68;315.93;427.99;171.45;62.36;21.29;0.00
2002.00;24;38G3;865.70;487.67;104.16;272.69;369.41;147.98;53.82;18.38;0.00
2002.00;24;38G4;1034.80;114.90;108.82;349.78;429.66;182.59;50.26;28.06;0.00
2002.00;24;39G2;406.10;217.77;46.52;121.77;164.96;66.08;24.04;8.21;0.00
2002.00;24;39G3;765.00;116.47;24.88;65.13;88.23;35.34;12.85;4.39;0.00
2002.00;24;39G4;524.80;173.12;36.98;96.80;131.14;52.53;19.11;6.52;0.00
2002.00;25;37G5;642.20;47.13;121.20;267.93;602.23;577.04;133.29;126.71;0.00
2002.00;25;38G5;1035.70;269.72;183.82;309.08;569.77;517.35;123.29;131.82;0.00
2002.00;25;38G6;940.20;11.71;63.06;92.55;99.44;73.97;17.25;19.33;0.00
2002.00;25;39G4;287.30;97.38;248.57;518.06;529.15;306.90;64.49;97.57;0.00
2002.00;25;39G5;979.00;813.23;553.47;789.85;887.58;627.54;149.48;189.63;0.00
2002.00;25;39G6;1026.00;1205.60;1179.86;1800.80;1187.18;444.78;101.47;227.26;0.00
2002.00;25;39G7;1026.00;569.77;1207.58;1902.33;1272.94;460.40;101.82;209.00;0.00
2002.00;25;40G4;677.20;288.67;546.19;888.93;717.80;361.99;84.90;138.17;0.00
2002.00;25;40G5;1012.90;3012.35;2189.92;3102.73;2380.84;1023.85;197.39;449.78;0.00
2002.00;25;40G6;1013.00;3672.76;2125.36;2513.71;1604.63;619.05;151.16;285.19;0.00
2002.00;25;40G7;1013.00;295.11;510.13;783.45;533.68;202.94;48.45;89.84;0.00
2002.00;25;41G6;764.40;103.16;99.70;135.32;103.07;72.73;23.01;26.38;0.00
2002.00;25;41G7;1000.00;42.17;246.25;442.64;393.32;197.31;39.79;68.37;0.00
2002.00;26;38G9;918.20;1305.39;988.14;2763.98;153.05;474.00;21.25;102.39;25.70
2002.00;26;39G8;1026.00;107.65;1095.65;2525.17;1856.78;440.91;37.56;0.00;0.00
2002.00;26;39G9;1026.00;347.88;342.70;1442.33;78.25;507.85;9.21;40.92;12.25
2002.00;26;39H0;881.60;5776.08;298.00;996.78;119.22;197.71;3.35;1.68;1.68
2002.00;26;40G8;1013.00;99.91;474.97;1200.86;876.46;213.87;15.70;0.00;0.00
2002.00;26;40G9;1013.00;270.63;494.60;758.07;107.95;395.56;37.50;101.78;31.30
2002.00;26;40H0;1012.10;1769.26;281.61;633.63;64.28;238.76;15.31;45.92;12.24
2002.00;26;41G8;1000.00;105.57;433.13;750.01;526.41;112.18;7.69;0.00;0.00
2002.00;26;41G9;1000.00;1428.00;626.00;1580.00;88.00;1106.00;173.00;246.00;582.00
2002.00;26;41H0;953.30;1150.00;314.00;419.00;23.00;267.00;39.00;54.00;133.00
2002.00;27;42G7;986.90;90.28;1012.67;1162.60;690.99;113.30;6.23;0.00;0.00
2002.00;28_2;42G8;945.40;76.25;451.17;928.18;417.93;309.39;3.47;0.00;0.00
2002.00;28_2;42G9;986.90;22.00;88.00;324.00;18.00;225.00;36.00;49.00;118.00
2002.00;28_2;42H0;968.50;37.00;106.00;337.00;18.00;224.00;35.00;45.00;114.00
2002.00;28_2;43H0;973.70;87.00;228.00;473.00;25.00;316.00;54.00;78.00;183.00
2002.00;28_2;43H1;412.70;6.00;65.00;105.00;4.00;46.00;7.00;9.00;17.00
2002.00;28_2;44H0;960.50;2.00;125.00;527.00;32.00;428.00;69.00;98.00;262.00
2002.00;28_2;44H1;824.60;25.00;345.00;772.00;38.00;469.00;75.00;102.00;243.00
2003.00;24;38G3;865.70;909.73;620.63;134.65;107.47;115.01;16.81;0.00;0.00
2003.00;24;38G4;1034.80;145.53;222.64;54.59;52.71;46.34;7.69;0.00;0.00
2003.00;24;39G3;765.00;60.37;92.32;22.01;20.80;21.95;3.85;0.00;0.00
2003.00;24;39G4;524.80;113.58;253.97;56.47;57.81;63.15;13.96;0.00;0.00
2003.00;25;37G5;642.20;3.72;24.65;13.79;36.88;37.25;18.82;6.71;5.83
2003.00;25;38G5;1035.70;113.45;165.24;87.35;204.91;199.59;103.29;39.06;28.98
2003.00;25;38G6;940.20;2.52;24.44;12.60;27.57;27.15;14.88;6.69;3.77
2003.00;25;39G4;287.30;14.24;71.06;37.79;60.92;57.41;25.05;12.81;6.95
2003.00;25;39G5;979.00;408.33;241.19;114.40;140.38;123.90;51.43;30.12;12.67
2003.00;25;39G6;1026.00;21.78;208.72;104.43;208.57;192.56;92.39;38.99;25.38
2003.00;25;39G7;1026.00;73.13;606.52;324.66;449.67;413.59;154.12;80.70;44.91
2003.00;25;40G4;677.20;9.58;126.84;64.42;137.61;124.57;57.91;23.46;16.76
2003.00;25;40G5;1012.90;27.91;137.42;65.27;138.42;124.17;57.27;22.34;16.19
2003.00;25;40G6;1013.00;24.80;786.00;427.87;666.46;608.75;226.29;114.24;67.13
2003.00;25;40G7;1013.00;46.60;302.49;163.79;193.55;181.74;68.92;40.33;19.11
2003.00;25;41G6;764.40;3.92;177.22;107.30;86.29;69.28;19.92;22.53;2.45
2003.00;25;41G7;1000.00;5.11;42.66;22.06;38.05;33.51;12.28;5.41;3.78
2003.00;26;38G9;918.20;362.10;1283.50;365.40;877.40;31.30;167.10;10.30;0.00
2003.00;26;39G8;1026.00;1096.43;756.14;547.69;411.33;318.53;175.42;5.67;13.64
2003.00;26;39G9;1026.00;2575.30;1454.90;312.60;1239.40;62.10;290.60;33.40;94.70
2003.00;26;39H0;881.60;36.80;99.30;36.90;208.30;57.50;28.10;0.00;0.00
2003.00;26;40G8;1013.00;445.06;861.54;1008.42;736.93;620.85;301.27;5.35;0.00
2003.00;26;40G9;1013.00;176.60;682.40;303.50;591.00;40.00;204.30;4.40;54.70
2003.00;26;40H0;1012.10;2230.50;372.40;83.90;240.20;33.50;79.20;6.70;20.70
