"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1992,00;"24";"38G3";865,70;258,10;107,03;111,48;78,21;46,12;14,07;5,83;0,00;1,19
1992,00;"24";"38G4";1034,80;355,31;343,35;159,62;49,32;11,21;1,76;0,71;0,00;0,00
1992,00;"24";"39G2";406,10;644,79;272,39;150,51;49,44;15,48;2,12;0,88;0,00;0,00
1992,00;"24";"39G3";765,00;56,34;58,80;70,82;37,24;21,61;4,92;1,65;0,00;0,00
1992,00;"24";"39G4";524,80;34,84;80,13;60,99;55,37;28,84;8,07;1,42;0,00;0,46
1992,00;"25";"39G5";979,00;14,08;59,23;49,29;52,55;19,58;2,85;0,95;0,43;0,00
1992,00;"25";"39G6";1026,00;31,09;73,44;50,19;60,73;53,02;8,16;3,00;0,23;0,00
1992,00;"25";"39G7";1026,00;18,09;600,43;469,90;889,31;866,14;303,19;113,62;64,02;44,34
1992,00;"25";"40G4";677,20;7,11;76,82;107,36;142,06;95,00;9,18;2,83;1,79;0,10
1992,00;"25";"40G5";1012,90;15,29;80,56;31,59;70,00;48,16;31,95;13,97;5,67;3,31
1992,00;"25";"40G6";1013,00;1,15;59,49;69,38;127,35;91,07;22,65;6,05;2,72;0,00
1992,00;"25";"40G7";1013,00;0,11;50,75;40,48;73,61;70,22;19,63;8,98;4,63;1,39
1992,00;"25";"41G6";764,40;0,00;2,64;0,48;11,17;27,37;19,54;7,44;3,54;1,68
1992,00;"25";"41G7";1000,00;0,00;6,27;49,83;80,86;93,02;112,34;39,02;28,35;11,05
1992,00;"26";"38G8";624,60;12,05;333,81;130,02;285,60;187,36;148,16;83,51;74,26;33,97
1992,00;"26";"38G9";918,20;888,28;545,81;135,59;134,60;83,62;39,35;38,85;9,66;7,69
1992,00;"26";"39G8";1026,00;5,77;238,26;86,28;190,15;121,27;86,88;34,39;21,17;8,15
1992,00;"26";"39G9";1026,00;0,00;287,98;267,31;380,23;283,31;130,12;171,88;111,83;93,14
1992,00;"26";"39H0";881,60;21,85;15,66;18,86;18,86;6,28;3,08;0,20;0,00;0,00
1992,00;"26";"40G8";1013,00;0,00;11,33;61,92;32,34;22,19;16,12;5,24;2,04;0,44
1992,00;"26";"40G9";1013,00;1,28;139,15;150,70;175,21;157,77;69,15;39,89;26,89;42,49
1992,00;"26";"40H0";1012,10;73,46;19,78;16,95;25,43;12,71;2,83;1,41;0,71;0,00
